WorkOrderNo    SoftWONo  TranNoRel      SOLineNo   QtyOrd                         WorkOrderNo;SoftWONo;TranNoRel;SOLineNo;QtyOrd;LineStatus;TranDate;PromiseDate;ItemID;ItemShortDesc;Hold;HoldReason;CustName;PrintedExpectShipRpt;QtyOnBO;QtyShip;QtyInvcd;QtyOpenToShip;OrderHold;OrderHoldReason
00021457;;0000093401;1;1.00000000;Open;2019-06-17 00:00:00;2019-07-25 00:00:00;101-307;B33213;False;;FERGUSON ENT. #55;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000094210;11;30.00000000;Open;2019-07-02 00:00:00;2019-08-09 00:00:00;101-353;BLUG10;False;;NOLAND COMPANY - 881;Y;.00000000;.00000000;.00000000;30.00000000;False;
00020647;;0000092060;1;7.00000000;Open;2019-05-22 00:00:00;2019-07-05 00:00:00;101-380;C2523;False;;LUIS FREIRE DIV. KMA;Y;7.00000000;.00000000;.00000000;7.00000000;False;
00021142;;0000092887;1;2.00000000;Open;2019-06-07 00:00:00;2019-07-26 00:00:00;101-380;C2523;False;;AITCHESON, J & H #176;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021265;;0000093100;1;1.00000000;Open;2019-06-12 00:00:00;2019-07-12 00:00:00;101-380;C2523;False;;FERGUSON ENT. #400;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021362;;0000093255;1;1.00000000;Open;2019-06-13 00:00:00;2019-08-01 00:00:00;101-380;C2523;False;;MWI, INC.;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021878;;0000094060;1;1.00000000;Open;2019-06-28 00:00:00;2019-08-19 00:00:00;101-380;C2523;False;;WEBB COMPANY, F.W.;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000094252;2;1.00000000;Open;2019-07-02 00:00:00;2019-07-15 00:00:00;101-424;CDL2233B4;False;;WINDUSTRIAL-DAYTON;Y;.00000000;.00000000;.00000000;1.00000000;False;
;00017045;0000093891;1;11.00000000;Open;2019-06-26 00:00:00;2019-07-12 00:00:00;101-466;CIFADA16;False;;BIMCO CORPORATION;Y;11.00000000;.00000000;.00000000;11.00000000;False;
;00018168;0000093153;1;3.00000000;Open;2019-06-12 00:00:00;2019-07-05 00:00:00;101-507;CLF14-2;False;;WINNELSON-CENTRAL OKLA;Y;3.00000000;.00000000;.00000000;3.00000000;False;
00019393;;0000090191;1;86.00000000;Open;2019-04-17 00:00:00;2019-07-17 00:00:00;101-515;CLFADA14-2;False;;FERGUSON ENT. #686;Y;86.00000000;.00000000;.00000000;86.00000000;False;
